c_id,company_name,city,relation
CMatched-923,Career Service Netzwerk Deutschland e.V.,Berlin,LOBBYIST
CMatched-924,Kreisbauernverband Main-Kinzig e.V.,Wächtersbach,LOBBYIST
CMatched-925,Stiftung für Grundwerte und Völkerverständigung,Berlin,LOBBYIST
CMatched-926,Contracts for Difference Verband e.V.,Frankfurt,LOBBYIST
CMatched-927,Deutsche Gesellschaft für Geographie,Havixbeck,LOBBYIST
CMatched-928,Deutsche Gesellschaft für Geographie,Berlin,LOBBYIST
CMatched-929,DWS Alternatives Global Ltd,EC2N2DB London,LOBBYIST
CMatched-930,DWS Alternatives Global Ltd,London EC2N 2DB,LOBBYIST
CMatched-931,Bundesverband Kinderhospiz e. V. ,Lenzkirch,LOBBYIST
CMatched-934,"WEED e.V. - Weltwirtschaft, Ökologie und Entwicklung",Berlin,LOBBYIST
CMatched-935,BRM Bundesverband Regenerative Mobilität e.V.,Erkner,LOBBYIST
CMatched-936,Deutscher Imkerbund e. V.,Wachtberg-Villip,LOBBYIST
CMatched-937,Deutscher Imkerbund e. V.,Frankfurt am Main,LOBBYIST
CMatched-938,LEGO GmbH,Grasbrunn,LOBBYIST
CMatched-939,Metsä Tissue OYJ,02100 Espoo,LOBBYIST
CMatched-940,Arbeitsgemeinschaft der Evangelischen Jugend in Deutschland e. V. (aej),Hannover,LOBBYIST
CMatched-943,PBV - Privatärztlicher Bundesverband e.V.,Frankfurt am Main,LOBBYIST
CMatched-944,Deutscher Kitaverband. Bundesverband freier unabhängiger Träger von Kindertagesstätten e.V.,Berlin,LOBBYIST
CMatched-945,Autodesk GmbH,München,LOBBYIST
CMatched-946,OMV Deutschland GmbH,Burghausen,LOBBYIST
CMatched-947,Verband der Humus- und Erdenwirtschaft e.V.,Aachen,LOBBYIST
CMatched-948,EbM-Netzwerk - Deutsches Netzwerk Evidenzbasierte Medizin e.V.,Berlin,LOBBYIST
CMatched-949,Bundesverband der Mütterzentren e.V.,Limburg,LOBBYIST
CMatched-950,IPG DXTRA (Germany) GmbH ,München,LOBBYIST
CMatched-952,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken e.V. (BVR),Berlin,CLIENT
CMatched-953,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken e.V. (BVR),Berlin,CLIENT
CMatched-954,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken e.V. (BVR),Berlin,CLIENT
CMatched-957,Livinguard,6330 Cham (ZG),CLIENT
CMatched-958,DELL Technologies,Dublin,CLIENT
CMatched-959,KME Germany GmbH,Osnabrück,CLIENT
CMatched-960,Galapagos NV,2800 Mecheln,CLIENT
CMatched-961,zvoove Group GmbH,Wietmarschen-Lohne,LOBBYIST
CMatched-962,Biogasrat+ e. V. - dezentrale energien,Berlin,LOBBYIST
CMatched-963,Wissenschaft im Dialog gGmbH,Berlin,LOBBYIST
CMatched-964,Informations- und Dokumentationszentrum für Antirassismusarbeit e. V. (IDA),Düsseldorf,LOBBYIST
CMatched-965,Weinbauverband Sachsen e.V.,Meissen,LOBBYIST
CMatched-966,Plattform Zivile Konfliktbearbeitung,Berlin,LOBBYIST
CMatched-967,Sächsischer Landesbauernverband e.V.,Dresden,LOBBYIST
CMatched-968,ADM Arbeitskreis Deutscher Markt- und Sozialforschungsinstitute e.V..,Berlin,CLIENT
CMatched-969,ZIV Zweirad-Industrie-Verband e.V.,Berlin,LOBBYIST
CMatched-970,Verband für das Deutsche Hundewesen (VDH) e.V.,Dortmund,LOBBYIST
CMatched-971,Bundesverband der Privaten MIlchwirtschaft e.V.,Berlin,LOBBYIST
CMatched-972,Donaustahl GmbH,Hutthurm,LOBBYIST
CMatched-973,Lockheed Martin Aeronautics Company,"Fort Worth,Texas 76108",CLIENT
CMatched-974,Fachverband Eisenhüttenschlacken e. V.,Duisburg,LOBBYIST
CMatched-0,Ecologic Institut,Berlin,LOBBYIST
CMatched-1,WMP Healthcare GmbH,Berlin,LOBBYIST
CMatched-3,Shionogi GmbH,Berlin,CLIENT
CMatched-4,Brüsseler Kreis e.V.,Hamburg,CLIENT
CMatched-5,Königlich Dänisches Generalkonsulat,München,CLIENT
CMatched-6,Schön Klinik Medizinisches Versorgungszentrum GmbH,München,CLIENT
CMatched-7,Schön Klinik Medizinisches Versorgungszentrum GmbH,München,CLIENT
CMatched-8,Schön Klinik Medizinisches Versorgungszentrum GmbH,Offenburg,CLIENT
